PetID,pred_0,pred_1,pred_2,pred_3,fold
002230dea,0.38168103,0.32905805,0.16926003,0.12000088,0
0045ed62a,0.4597645,0.39122987,0.11319146,0.03581411,0
0058586f1,0.0539999,0.18029337,0.33460426,0.43110242,0
0063f83c9,0.3020215,0.32364368,0.20246413,0.17187065,0
007ffeccd,0.15134665,0.5213824,0.25278795,0.07448298,0
0090eb457,0.07979345,0.33653903,0.34188688,0.24178067,0
00a1f270a,0.13270016,0.23876683,0.2308939,0.39763907,0
00e50c7a7,0.46159124,0.31715238,0.15209217,0.06916415,0
00eced1f0,0.2227308,0.32086548,0.18129615,0.27510753,0
0118db3a8,0.013723385,0.042004194,0.25302514,0.6912472,0
01231c438,0.13885507,0.3764196,0.27524924,0.20947608,0
015770429,0.069829114,0.3785606,0.32861707,0.22299321,0
015c75c9e,0.07996529,0.39730656,0.39622036,0.12650776,0
01ac09f2a,0.07698186,0.28225404,0.21274662,0.42801747,0
01dac4b22,0.042376895,0.13246225,0.09394746,0.7312134,0
023979a33,0.13816224,0.22082655,0.24784622,0.39316502,0
026c202c6,0.32971248,0.37330505,0.1841873,0.112795174,0
027c23f6b,0.3391835,0.3979352,0.17103344,0.09184781,0
02a084920,0.03780724,0.3344321,0.36452973,0.26323092,0
02f7300db,0.20023651,0.41636983,0.29829094,0.08510274,0
02fee7295,0.18908644,0.3844841,0.22870575,0.19772372,0
0308c9eda,0.065588325,0.21318692,0.23207915,0.4891456,0
0392c0c81,0.17237079,0.32624805,0.16535705,0.3360241,0
040736f83,0.107279494,0.42996392,0.32588726,0.13686931,0
041dd606f,0.08707507,0.4291261,0.32727396,0.15652485,0
048519a46,0.3555302,0.33349133,0.19513555,0.11584291,0
058394848,0.33709565,0.3261877,0.14701812,0.1896985,0
0594ed847,0.1292309,0.25634342,0.32986286,0.28456283,0
059a68bf0,0.16747978,0.28587252,0.14473517,0.4019125,0
059baa037,0.12747966,0.36340594,0.36437106,0.14474334,0
06afa3c64,0.07836871,0.27573112,0.21043992,0.43546024,0
06cc44fad,0.4139748,0.36774483,0.12891687,0.08936352,0
06df96299,0.2988389,0.4515603,0.18380211,0.06579868,0
076a67405,0.019755254,0.040349055,0.22312413,0.71677154,0
076d6f830,0.49378338,0.31124637,0.13448498,0.060485266,0
076ec7e18,0.41510633,0.38146573,0.13408162,0.06934637,0
07cc0ce27,0.08893051,0.4885971,0.33451864,0.08795374,0
0806f9e3f,0.15133268,0.32724267,0.34639236,0.17503229,0
086e528f0,0.21388513,0.32927108,0.2698696,0.18697418,0
08f54d056,0.15054896,0.41402134,0.34310648,0.09232322,0
093cce3a1,0.22941802,0.30371836,0.32537913,0.14148447,0
096c37d99,0.17808813,0.45036688,0.22134522,0.1501998,0
09d9212f5,0.42315656,0.36937454,0.12145002,0.08601888,0
09e39377f,0.13037254,0.29684356,0.34504077,0.22774315,0
09ef02857,0.042363845,0.14605172,0.23347569,0.5781087,0
0a0e8c15b,0.049976576,0.17276773,0.39266554,0.38459015,0
0a4fc94e5,0.08173186,0.21538329,0.32404116,0.37884372,0
0a76a6cf3,0.012003087,0.06433802,0.11699192,0.806667,0
0acd95320,0.014269375,0.03896108,0.16064772,0.7861218,0
0afb7e845,0.41415828,0.33501604,0.15823781,0.09258789,0
0b3763054,0.31783068,0.48489693,0.15455756,0.04271488,0
0b59a57ff,0.49549198,0.31784442,0.10472397,0.08193961,0
0b6064845,0.03227055,0.12393189,0.2735774,0.5702201,0
0b807a7dd,0.35202986,0.34459823,0.15988676,0.14348514,0
0b90767fa,0.16105127,0.43820512,0.31093517,0.089808434,0
0b942f000,0.054008566,0.21523657,0.13755223,0.5932026,0
0bd2d5882,0.05665099,0.22703992,0.4071286,0.30918044,0
0c49c9df2,0.18721965,0.3001992,0.15112117,0.36145997,0
0cd614218,0.45938003,0.3441229,0.118790954,0.07770609,0
0ce98d199,0.18064265,0.30686504,0.32421535,0.18827692,0
0d2394669,0.15238197,0.32083896,0.21718761,0.30959144,0
0d3081480,0.14192946,0.3435615,0.22997154,0.28453755,0
0dca551f0,0.1859039,0.27492818,0.2129674,0.32620052,0
0e1a54250,0.15843676,0.27004763,0.28798857,0.28352705,0
0e61fe015,0.2311031,0.5090973,0.21245007,0.047349505,0
0ea337520,0.13072504,0.35435075,0.22427611,0.29064813,0
0ed23a049,0.13479623,0.30121887,0.39007926,0.17390564,0
0f24b6cd6,0.45472708,0.3867538,0.09044478,0.068074316,0
0f544b558,0.3914455,0.33572045,0.15561886,0.11721519,0
0fa63169f,0.35476786,0.35701206,0.15506995,0.13315012,0
0faf7f0ae,0.18505777,0.25343204,0.21057741,0.35093278,0
0fb490c9b,0.2765142,0.50897163,0.18085305,0.033661142,0
0ff7245bd,0.24700394,0.31529373,0.23904522,0.19865707,0
0ffe99b25,0.37032077,0.29001367,0.17851254,0.16115308,0
100aed9a3,0.15518898,0.5810727,0.21028909,0.053449206,0
102482c40,0.11231001,0.2326051,0.32677287,0.328312,0
105c00abe,0.46032685,0.31987697,0.13934638,0.08044978,0
105fd5ad7,0.09917047,0.28311992,0.16419183,0.4535178,0
1077fb67a,0.36151987,0.38856888,0.16381785,0.0860934,0
107d56dc4,0.062383607,0.22302961,0.4633071,0.25127968,0
10ba7efac,0.08534843,0.27214566,0.23995775,0.40254816,0
10e723583,0.073093034,0.24531522,0.42597228,0.25561947,0
119903786,0.12071618,0.4347497,0.29072803,0.15380612,0
11a30eacf,0.2945456,0.42939126,0.17876397,0.097299196,0
11d50c573,0.020224316,0.09868537,0.19300018,0.68809015,0
120805f93,0.19722824,0.35278207,0.18185364,0.268136,0
1238ed024,0.089170724,0.35105318,0.39131755,0.16845857,0
123f15578,0.21168236,0.3195957,0.23885618,0.22986579,0
124e6af5e,0.14582662,0.30044484,0.23516841,0.31856012,0
12653b9bc,0.08658552,0.28344765,0.4099733,0.21999353,0
12ccd5019,0.15195411,0.34610718,0.20546487,0.29647386,0
12e711074,0.46602607,0.3340191,0.13545358,0.064501256,0
13bbf723c,0.49864474,0.30098408,0.12033095,0.08004021,0
13d30c173,0.08539997,0.30657753,0.32824835,0.27977413,0
140ef35de,0.012200574,0.05516601,0.20166302,0.7309703,0
14357e2ed,0.09160762,0.47842896,0.3245851,0.105378315,0
143760a33,0.019176858,0.04076213,0.17561978,0.76444125,0
146005aa0,0.018598154,0.075419635,0.34454975,0.5614324,0
146f076cf,0.044896554,0.24318972,0.30457354,0.40734017,0
14bbc5876,0.044341248,0.15594275,0.16592866,0.63378733,0
14c70761a,0.015340625,0.035155762,0.17548007,0.77402353,0
1534419ad,0.21383362,0.36338413,0.17992464,0.24285756,0
15f62e911,0.23308712,0.325009,0.2054607,0.23644315,0
16504b328,0.25629976,0.25880644,0.2290254,0.2558684,0
166092e21,0.25241178,0.3621676,0.19597003,0.18945062,0
166345ac8,0.14002682,0.27361166,0.1764523,0.40990925,0
167233db2,0.11836864,0.48833394,0.3115751,0.08172233,0
179c21d17,0.02195647,0.08277223,0.2179311,0.67734015,0
17d90c2d9,0.2443782,0.30731088,0.17637894,0.27193204,0
17d9c9586,0.053032566,0.28553596,0.2963642,0.36506727,0
18734d13e,0.14828189,0.2514087,0.2337265,0.3665829,0
189637f90,0.07643235,0.23106106,0.29504263,0.39746395,0
1925aff9d,0.07833432,0.17174473,0.28409755,0.4658234,0
1945e2783,0.3477309,0.30650023,0.22924209,0.11652676,0
19470706b,0.04166827,0.15297611,0.34210116,0.46325445,0
1976719f7,0.45539457,0.3721376,0.102991775,0.069476016,0
199277f1a,0.095492974,0.24252076,0.1918922,0.47009408,0
19cd32fd6,0.17073885,0.3903405,0.26348373,0.17543693,0
19cf5ba9d,0.1990217,0.33146706,0.23399405,0.23551717,0
19f4d65b7,0.10319676,0.29121086,0.19407284,0.4115195,0
1a2c91362,0.017450716,0.08016003,0.25626826,0.64612097,0
1a4464471,0.18727787,0.32950488,0.19917452,0.28404275,0
1a54d4e92,0.07656548,0.35482588,0.25193873,0.3166699,0
1a76d3ffa,0.2432757,0.37461978,0.23259097,0.14951356,0
1aabe595c,0.107551314,0.23946485,0.20882201,0.4441618,0
1adc56d3c,0.0137963155,0.057727396,0.24968855,0.6787877,0
1b08020b7,0.1757477,0.28570873,0.2528519,0.28569168,0
1b0d28fab,0.09491101,0.21831019,0.39445826,0.29232052,0
1b36762d2,0.33114904,0.38802055,0.17179893,0.10903152,0
1b71de34e,0.040302742,0.17939642,0.21005335,0.5702475,0
1bb0600a7,0.063991524,0.24181715,0.43871257,0.25547877,0
1bbadc050,0.18326266,0.5043603,0.21238661,0.09999041,0
1bd13d3e5,0.047539905,0.19305012,0.3574244,0.40198553,0
1bf1f95ef,0.15987304,0.26266533,0.15401705,0.42344457,0
1bf4a2ca7,0.09088627,0.4670415,0.33318117,0.10889107,0
1c07c6ee5,0.072700955,0.41634062,0.408755,0.102203436,0
1c0aa9866,0.4678025,0.31024036,0.14636928,0.07558789,0
1c4f5efa8,0.047242317,0.14592567,0.34547627,0.46135575,0
1c7619fdc,0.074762404,0.14215197,0.3308847,0.45220092,0
1c7d56a42,0.15683395,0.3004433,0.15610534,0.3866174,0
1c9a2baf6,0.17026961,0.4342068,0.29257557,0.10294803,0
1cea0ad08,0.0072574257,0.033659607,0.10123348,0.8578495,0
1d13441b9,0.54196733,0.26315114,0.13506,0.05982153,0
1d1c1d51d,0.024917996,0.10421105,0.26497483,0.6058961,0
1d20ba693,0.0890919,0.2657986,0.30156726,0.34354225,0
1d373c973,0.47226286,0.3341677,0.12158642,0.07198301,0
1d3dd0cb8,0.1194382,0.26616046,0.17192397,0.4424774,0
1d5870131,0.11568576,0.36512044,0.31390598,0.2052878,0
1d8dd930a,0.35885617,0.30709264,0.19356097,0.1404903,0
1dfcfe139,0.24124965,0.43022007,0.2046741,0.12385614,0
1e24f14d6,0.15338114,0.29073206,0.14393826,0.4119485,0
1eb041ff3,0.2296043,0.41284546,0.20558634,0.15196389,0
1eb8a0278,0.36058554,0.43940058,0.15159494,0.04841892,0
1eb9e42bd,0.038947795,0.18229316,0.21384968,0.5649094,0
1f6fe20fc,0.08520355,0.3101074,0.4367978,0.16789123,0
1f9a15807,0.08924801,0.5448337,0.293485,0.0724332,0
1fbf04fab,0.06277617,0.27165964,0.32672206,0.33884215,0
1fd2f589f,0.08341855,0.22903676,0.25899094,0.42855373,0
1fdf2880b,0.16773549,0.27478504,0.24453083,0.3129486,0
1fecd2bab,0.041906945,0.2263794,0.28214836,0.4495653,0
1ffe668f9,0.013478356,0.069627665,0.17051204,0.74638194,0
200a0df49,0.34221038,0.41456184,0.14957245,0.093655385,0
2027f2dfd,0.16584168,0.39673313,0.22141764,0.21600752,0
20336bf88,0.26592654,0.35703933,0.20108204,0.17595208,0
208beeb80,0.3201237,0.3054212,0.20422238,0.17023273,0
20f05426f,0.054800685,0.17389381,0.40628958,0.36501592,0
21178f3b0,0.0798696,0.25449702,0.39057145,0.27506196,0
211b0aa56,0.15128058,0.38538226,0.22024436,0.24309283,0
21a56b530,0.25403783,0.30866805,0.25117338,0.1861208,0
21a7f4896,0.0701849,0.13719852,0.31617284,0.47644365,0
21ae91701,0.011601957,0.06080872,0.17300485,0.7545845,0
2208d2be1,0.31613058,0.33759102,0.17277166,0.1735067,0
22145fe75,0.08500767,0.19759932,0.30245605,0.41493696,0
2260ef0a0,0.2935091,0.37237936,0.16093583,0.1731757,0
2262be7e9,0.10715006,0.29840428,0.31317657,0.2812691,0
228117dca,0.25116777,0.41244462,0.2503744,0.0860132,0
22987c7fb,0.16502832,0.3990157,0.3113707,0.12458527,0
229beedff,0.17510295,0.35569867,0.1948758,0.2743226,0
22d381889,0.09058807,0.40579903,0.37248158,0.13113132,0
22e9d72ce,0.35955158,0.31643236,0.17369246,0.15032361,0
233aeb07c,0.0462925,0.17625642,0.24587287,0.5315782,0
235572f38,0.46492922,0.36659515,0.09724876,0.07122696,0
236dd6cca,0.39848518,0.37184352,0.1575075,0.0721638,0
23941ded4,0.17724468,0.30226782,0.26769054,0.252797,0
23bcfa015,0.046195015,0.18603206,0.14996046,0.6178124,0
23eddf1d8,0.059396278,0.365711,0.37033802,0.20455474,0
24357b578,0.27862075,0.36295462,0.21771169,0.14071292,0
24731a12c,0.38203156,0.3338384,0.16206123,0.12206878,0
24750a30f,0.1374344,0.33838797,0.2897358,0.23444185,0
249112486,0.09996469,0.34999394,0.3975914,0.1524499,0
24af5742e,0.086237855,0.35838443,0.38116387,0.17421384,0
24fee0cc4,0.0676348,0.10536112,0.3011046,0.52589947,0
251bace70,0.27035293,0.3640962,0.1924906,0.17306028,0
259dc7e9a,0.037319496,0.13902935,0.3324366,0.49121454,0
25bdd7d90,0.15781492,0.3449609,0.2571731,0.24005109,0
25c681109,0.18141454,0.30937222,0.35588768,0.15332559,0
25ebacf03,0.277432,0.2945716,0.13818938,0.28980702,0
2614882d1,0.358672,0.40671244,0.16527878,0.069336735,0
26bba34a6,0.03096467,0.14680198,0.37261966,0.4496137,0
26c1fc882,0.22960126,0.33551472,0.2069406,0.22794339,0
27dd38817,0.06063787,0.38508093,0.3501874,0.20409384,0
27e6b452b,0.0832463,0.16579896,0.35708392,0.39387086,0
27ec72a29,0.16967815,0.30879742,0.3173539,0.20417053,0
27eedd440,0.23163879,0.28349406,0.23215568,0.25271147,0
282c90ff4,0.030700572,0.089556284,0.27821267,0.60153043,0
28cc87730,0.057456493,0.20166408,0.34002984,0.40084967,0
29193bf76,0.073134325,0.43701228,0.292529,0.19732437,0
2931d3eac,0.056262035,0.2809505,0.28040925,0.3823782,0
29d752f7f,0.0066038594,0.030161282,0.16732031,0.7959146,0
29edf6e20,0.36457208,0.3716599,0.1709938,0.09277419,0
2b1582f99,0.026390327,0.09823561,0.23799917,0.6373749,0
2b3fc0265,0.29139033,0.37695557,0.174294,0.15736017,0
2ba9dfe93,0.13398947,0.33723074,0.30491924,0.2238605,0
2bbe22924,0.07283116,0.3553675,0.35044393,0.22135745,0
2c24655fe,0.078674756,0.26100296,0.31681588,0.34350643,0
2c46efe8f,0.045561917,0.093330964,0.16389458,0.6972126,0
2c5f2907a,0.14977176,0.3023387,0.17797108,0.36991844,0
2c8ae4c7e,0.047000345,0.09968613,0.2557879,0.59752566,0
2cdaa8a5d,0.015804468,0.08136905,0.21654312,0.68628335,0
2d33077f2,0.07984485,0.17719644,0.2811876,0.46177113,0
2d441a71b,0.30717143,0.4631979,0.15158787,0.07804279,0
2d8ec2cff,0.4895223,0.33641735,0.105623335,0.06843702,0
2db964259,0.08205248,0.26329795,0.36851922,0.28613034,0
2dccbfd25,0.15896997,0.28253958,0.18949135,0.36899912,0
2dea0707b,0.026046865,0.067535855,0.18567033,0.72074693,0
2def0a43e,0.10835232,0.28591615,0.31288725,0.2928443,0
2e4eb9198,0.13791744,0.5238,0.26718107,0.071101494,0
2e65d72c2,0.50464165,0.34835857,0.108691715,0.038308058,0
2e76362c0,0.14882867,0.32112938,0.200695,0.32934695,0
2e9a53eb0,0.21548134,0.31320053,0.18039733,0.2909208,0
2f0805ceb,0.13999344,0.34716147,0.23667485,0.27617025,0
2f19ac5ab,0.45158687,0.3127879,0.110625684,0.12499956,0
2f4c6ada3,0.339983,0.36197183,0.17520796,0.12283726,0
2f60db1f7,0.23719275,0.3948996,0.20403875,0.16386887,0
2fcdfb0e1,0.038065396,0.08324085,0.2607494,0.61794436,0
2fe763187,0.010264166,0.049456865,0.1278625,0.8124165,0
3060de782,0.29479393,0.30565754,0.2100869,0.18946163,0
30ece8658,0.2110459,0.34986722,0.15906627,0.2800206,0
31081d71d,0.018878046,0.08365901,0.27397022,0.6234927,0
31144a6be,0.078623846,0.33955252,0.41516992,0.16665368,0
3163e9acf,0.072895505,0.19798668,0.25717148,0.47194636,0
3181e5424,0.13505873,0.32208538,0.32478064,0.21807525,0
31b3d9b10,0.29546234,0.40574902,0.16965084,0.12913778,0
31eb7b312,0.12316656,0.34761873,0.3136508,0.2155639,0
3244cff21,0.517123,0.3507689,0.10195974,0.030148394,0
326355730,0.16508189,0.56619406,0.20871064,0.060013458,0
3330252db,0.16895477,0.4361564,0.25941122,0.1354776,0
3335796f3,0.122835964,0.2524109,0.19627143,0.4284817,0
33ddc2011,0.18571109,0.32802078,0.20483251,0.28143564,0
34c4e74a9,0.3764939,0.3591474,0.19665511,0.067703515,0
35149528a,0.550717,0.31159955,0.09670316,0.04098031,0
355048bb7,0.09018444,0.30727974,0.3788453,0.22369048,0
355743336,0.046932284,0.2653883,0.28051898,0.40716046,0
35bb8ee8f,0.031611685,0.08379572,0.30847076,0.5761219,0
3604fc814,0.20623906,0.39847597,0.18758072,0.20770423,0
360dcecb1,0.26162842,0.46897173,0.19599302,0.07340687,0
3613869b2,0.12260473,0.27559805,0.22174107,0.38005614,0
36332af6d,0.5366742,0.31434783,0.10521521,0.043762755,0
36bb93372,0.17089246,0.30119956,0.2550789,0.27282906,0
36cc00cf3,0.03376385,0.114284664,0.28206974,0.5698817,0
36edc334e,0.27298886,0.3727812,0.15401196,0.20021796,0
36f3f7027,0.22981629,0.2878571,0.19531149,0.28701514,0
3757e3734,0.030745681,0.10965353,0.32962048,0.5299803,0
3759a1d40,0.14901143,0.39785194,0.35788697,0.09524961,0
3779a7d91,0.15690652,0.31874186,0.14454767,0.37980393,0
378406cf4,0.04510624,0.2257173,0.47748554,0.25169095,0
37884b086,0.43023467,0.36098397,0.13380511,0.07497623,0
37ae0cd69,0.3861965,0.3203175,0.17935255,0.11413343,0
37c989ac5,0.46685454,0.3308727,0.11556212,0.08671063,0
37e2f042b,0.21933596,0.32954422,0.20583811,0.24528173,0
37f8a39c4,0.17811993,0.44776794,0.16389945,0.21021266,0
387a2639c,0.021912592,0.11014094,0.2745344,0.5934121,0
38e12233c,0.020116579,0.07240292,0.24808145,0.65939903,0
38f6f3011,0.05795549,0.13739485,0.36944774,0.43520188,0
3948f67d7,0.068181664,0.17680183,0.2309742,0.5240423,0
394c13865,0.3061717,0.3288276,0.13866086,0.22633986,0
39816161d,0.16735072,0.5452239,0.2212759,0.06614947,0
